ticker,datetime,open,high,low,close,volume
MCD,2023-01-24 06:00:00+00:00,236.42,270.16,236.77,269.56,2517081
WMT,2023-06-05 05:00:00+00:00,49.79,50.4166666666667,49.88,49.9333333333333,15553173
JPM,2023-06-05 05:00:00+00:00,140.11,139.31,138.13,139.09,8511902
BAC,2023-06-05 05:00:00+00:00,28.82,28.71,28.3,28.54,34757752
JNJ,2023-06-05 05:00:00+00:00,156.75,158.64,156.97,158.32,6430453
CAT,2023-06-05 05:00:00+00:00,226.99,226.28,220.75,222.47,3438443
HON,2018-11-14 06:00:00+00:00,140.052855467149,140.561624669653,138.696137593804,138.225054998893,2827278
HON,2019-05-22 05:00:00+00:00,159.668734719258,160.625032386928,159.225917080042,158.745412833232,2251462
HON,2019-08-14 05:00:00+00:00,156.427686466268,157.143732010533,154.496247827132,153.780202282866,2457342
HON,2020-02-26 06:00:00+00:00,158.839629352214,162.127691648177,157.124888706737,156.663227763724,3412306
UPS,2023-06-05 05:00:00+00:00,169.95,169.11,167.615,167.85,2314285
XOM,2023-06-05 05:00:00+00:00,107.19,107.025,105.09,105.29,10628001
CVX,2023-06-05 05:00:00+00:00,158.45,157.89,155.24,155.51,6443842
COP,2023-06-05 05:00:00+00:00,103.05,102.37,99.77,100.87,5154045
SO,2023-01-24 06:00:00+00:00,74.93,71.18,58.85,66.7,3444199
APD,2020-10-21 05:00:00+00:00,294.04,298.03,293.27,293.26,429763
PLD,2023-01-24 06:00:00+00:00,110.0,126.99,115.5,126.4,2142754
XLB,2018-11-15 06:00:00+00:00,26.885,27.4725,26.955,27.345,17793246
XLC,2023-06-05 05:00:00+00:00,62.92,63.88,63.08,63.32,7260693
XLE,2018-11-15 06:00:00+00:00,30.713791,31.446291,30.928791,31.403791,31203130
XLE,2023-06-05 05:00:00+00:00,40.5325,40.3075,39.615,39.685,37826192
XLF,2023-06-05 05:00:00+00:00,32.84,32.75,32.48,32.63,50531444
XLI,2023-06-05 05:00:00+00:00,101.15,100.92,100.11,100.24,9655636
